Name,x,y,z,vx,vy,vz,En,Lz,Lperp,alpha,delta,met,age,age_error,apo,peri,zmax,circ,ecc,d_gc,labels
b'Eridanus',-53.11976408848278,-41.62975781478448,-59.69308106863244,68.95308453842547,-220.5269460883624,128.05624431832183,-50389.24618377205,-1878.5116499820276,5492.171504579028,66.185,-21.187,-1.44,nan,nan,132.64743041992188,12.714202880859377,125.04190063476562,nan,0.8250679688697328,95.16519390539335,high_E
b'IC1257',23.126039195140464,6.8190710186076045,6.609582557772689,-75.2750857990751,-238.49314608911556,-20.86118352482684,-140189.01853832387,-523.3922344117375,256.8147342037467,261.785,-7.093,nan,nan,nan,18.30702209472656,1.185941219329834,7.032004833221436,-0.202797189311827,0.8783210946203699,17.691041721721664,GE
b'IC4499',10.681109338930083,-14.017978816906876,-6.54600436744207,20.79177662604668,-3.6891282295937273,-69.31963586645169,-116843.2443663512,-1043.8912636147766,2445.3511574800077,225.077,-82.214,-1.62,nan,nan,27.328821182250977,6.850572109222412,24.78928565979004,-0.2563735318009754,0.5991402158135206,15.668752561756364,Seq_ext
b'Liller1',8.16537663388394,-0.7527367725232693,0.003431925614133,24.195385300069063,-371.46383565615736,17.79684903875088,-264452.7239429816,-30.97305185635181,18.44356168156907,263.35200000000003,-33.389,0.4,nan,nan,1.0726333856582642,0.1249949857592582,0.1538652330636978,-0.3062301748250315,0.7912624838516256,0.7535404463619559,bulge_apo
b'NGC0104',1.87,-2.58,-3.18,-88.6,-80.1,38.5,-166829.51776190408,1238.9562,671.1978312899184,6.0194,-72.0821,-0.76,11.75,0.25,7.578659534454346,5.625507354736328,3.489245176315308,0.8060183866465919,0.1479193800039688,7.539078192988848,disk
b'NGC0288',-0.084,0.046,-8.89,-19.3,-297.3,44.0,-156793.92479035695,-439.92624,683.9188994725982,13.1879,-26.5858,-1.32,11.5,0.38,12.297958374023438,1.9556119441986084,10.067228317260742,-0.2348150179901814,0.7255968995082565,12.151496697938077,GE
b'NGC0362',3.11,-5.07,-6.21,-100.0,-344.8,-78.1,-160096.25994724515,-61.12739999999991,327.13513367393006,15.8099,-70.8489,-1.3,10.75,0.25,12.010639190673828,0.3254537880420685,9.878469467163086,-0.0348363520395147,0.9472355163659044,9.496162382773369,GE
b'NGC1261',0.1171381529383279,-10.002506398508894,-12.869582137774128,64.02426171997536,-194.28908858329316,61.02976204414773,-133979.8320758162,-347.68459242125294,416.85725437764586,48.068000000000005,-55.216,-1.27,10.75,0.25,20.68339157104492,1.0550931692123413,15.23268222808838,-0.119458036215373,0.9029285452211464,18.193650933548533,GE
b'NGC1851',-4.26,-8.94,-6.95,-94.5,-319.5,-88.9,-135056.4373032584,-192.14359999999976,484.1609284907241,78.528,-40.0456,-1.18,11.0,0.25,20.41024208068848,0.467553436756134,12.817583084106444,-0.067537064142135,0.9552104592301935,16.836796013493778,GE
b'NGC1904',-7.63,-8.25,-6.32,-57.6,-266.4,-2.6,-137757.68471007806,32.83220000000057,408.5094625072227,81.0463,-24.5255,-1.58,nan,nan,19.45195198059082,0.089386910200119,11.352572441101074,0.0121990057082453,0.9908515060611078,18.936573079625575,GE
b'NGC2298',-4.29,-9.46,-2.98,80.5,-227.8,67.5,-140802.00189180722,-661.2004000000002,932.5364531312916,102.2464,-36.0046,-1.96,nan,nan,17.718124389648438,1.8678257465362549,10.766838073730469,-0.2606798049588725,0.8092688142725861,15.949046993472681,GE
b'NGC2419',-74.82698636533519,-0.3539451040538674,34.97937727211931,-8.375083648801233,-198.71177288030728,-68.57112722352696,-62642.96903580102,3779.107021503149,5237.126536851765,114.535,38.882,-2.2,12.3,0.75,91.06832122802734,16.053668975830078,71.30836486816406,nan,0.7002731382178523,90.09529719353556,high_E
b'NGC2808',1.99,-9.2,-1.87,43.5,-101.0,21.7,-153554.08820091307,387.2003999999999,77.69234685404983,138.0071,-64.8645,-1.18,11.0,0.38,14.226749420166016,0.918753147125244,0.6783601641654968,0.1944921738621271,0.8786764396832345,11.256153872437956,GE
b'NGC3201',0.61,-4.8,0.74,244.8,-450.6,143.5,-112285.54757731609,-2794.5923999999995,1450.619790104633,154.3987,-46.4125,-1.51,11.5,0.38,29.875322341918945,8.129304885864258,12.30239200592041,-0.6272894438956368,0.5721939416934291,9.01086566318686,Seq_ext
b'NGC4147',-1.3311363895951074,-4.093325731042226,18.81389806424717,-57.1956535587899,-275.5286361103997,119.7341625163998,-122618.0936023192,-109.53173341122717,349.9096967950049,182.526,18.543,-1.78,12.25,0.25,26.33176040649414,0.5698314309120178,24.996828079223636,-0.0302339528464097,0.9576358578067727,21.483962315861564,GE
b'NGC4372',2.94,-4.9,-1.0,-114.6,-166.6,59.7,-177959.70096864217,915.5364,519.9336244887422,186.4587,-72.6562,-2.19,12.54,0.75,7.307952404022217,3.1874589920043945,2.3583223819732666,0.7378589467704666,0.39259951387687125,7.257933590216984,disk
b'NGC4590',4.12,-7.24,6.06,-182.5,38.2,8.6,-113404.17987213373,2393.2912,2069.8372943128065,189.8651,-26.7454,-2.27,12.0,0.25,28.373592376708984,9.074090957641602,18.41914176940918,0.5503463630791592,0.5153723728849213,10.28530991268615,H99
b'NGC4833',3.62,-5.44,-0.92,-109.2,-307.1,-48.7,-181610.679806792,245.7652000000001,195.0045422733532,194.8978,-70.8718,-1.89,12.5,0.5,8.219040870666504,0.7227659225463867,0.7144013047218323,0.215358001931291,0.8383400716966981,7.1705229934782295,GE
b'NGC5024',2.83,-1.45,17.61,44.2,-95.2,-78.9,-124070.380807541,720.1597999999999,2588.6182566998677,198.2262,18.1661,-2.06,12.25,0.25,21.72738075256348,8.410494804382324,20.926239013671875,0.2048495038378752,0.4418654501050936,18.46757970065379,H99
b'NGC5053',3.04,-1.37,17.08,42.2,-104.7,28.9,-128943.45067570129,647.0053999999998,2668.714172376594,199.1124,17.7008,-2.3,12.25,0.38,17.924165725708008,9.783910751342772,17.417951583862305,0.2026579731205313,0.2937863615724969,17.894940625774648,H99
b'NGC5139',3.17,-3.9,1.34,87.7,-268.7,-88.3,-185132.74359862777,-508.3537999999999,444.404728314416,201.7876,-47.4515,-2.1,13.0,0.75,7.04854679107666,1.5375421047210691,2.849874258041382,-0.4766421618226802,0.6418527403149564,6.504344701812781,GE
